Surname,First name,Institution,Department,Email address,State,Started on,Completed,Time taken,Grade/9.00,Q. 1 /1.00,Q. 2 /1.00,Q. 3 /1.00,Q. 4 /1.00,Q. 5 /1.00,Q. 6 /1.00,Q. 7 /1.00,Q. 8 /1.00,Q. 9 /1.00
Asebedo,Kristin,NA,NA,kristin.ase_067@example.com,Finished,25 February 2021  12:01 AM,25 February 2021  12:06 AM,5 mins 19 secs,7.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00
Dominguez Palacios,Annie,NA,NA,annie.dom_273@example.com,Finished,25 February 2021  1:39 AM,25 February 2021  2:15 AM,35 mins 21 secs,4.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00
Begay,Ladayza,NA,NA,ladayza.beg_044@example.com,Finished,25 February 2021  10:17 AM,25 February 2021  10:20 AM,2 mins 54 secs,2.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Begay,Ladayza,NA,NA,ladayza.beg_044@example.com,In progress,25 February 2021  10:20 AM,-,-,-,-,-,-,-,-,-,-,-,-
Kiatoukaysi,Laderek,NA,NA,laderek.kia_250@example.com,Finished,25 February 2021  11:18 AM,25 February 2021  11:39 AM,20 mins 26 secs,5.00,1.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00
Ornelas,Kirby,NA,NA,kirby.orn_269@example.com,Finished,25 February 2021  1:40 PM,27 February 2021  12:18 AM,1 day 10 hours,6.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00
Cotter,Haaroon,NA,NA,haaroon.cot_212@example.com,Finished,25 February 2021  2:06 PM,25 February 2021  2:16 PM,10 mins 3 secs,6.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00
Wade,Faith,NA,NA,faith.wad_218@example.com,Finished,25 February 2021  3:21 PM,25 February 2021  3:38 PM,17 mins 24 secs,8.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00
Mckeon,Zubair,NA,NA,zubair.mck_255@example.com,Finished,25 February 2021  3:28 PM,25 February 2021  3:49 PM,21 mins 10 secs,8.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00
Bailey,Nayong,NA,NA,nayong.bai_237@example.com,Finished,25 February 2021  5:21 PM,25 February 2021  5:50 PM,28 mins 55 secs,8.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00
Zuni,Rajab,NA,NA,rajab.zun_190@example.com,Finished,25 February 2021  6:32 PM,25 February 2021  6:36 PM,4 mins 14 secs,3.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00
Zuni,Rajab,NA,NA,rajab.zun_190@example.com,In progress,25 February 2021  6:37 PM,-,-,-,-,-,-,-,-,-,-,-,-
al-Zaher,Dominique,NA,NA,dominique.al_224@example.com,Finished,25 February 2021  7:33 PM,25 February 2021  7:38 PM,4 mins 27 secs,7.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00
el-Miah,Austin,NA,NA,austin.el_040@example.com,Finished,25 February 2021  7:53 PM,25 February 2021  10:00 PM,2 hours 7 mins,3.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00
el-Mourad,Luis,NA,NA,luis.el_124@example.com,Finished,25 February 2021  8:04 PM,1 March 2021  9:16 AM,3 days 13 hours,3.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00
Monroy-Parra,Bryanna,NA,NA,bryanna.mon_047@example.com,Finished,25 February 2021  9:40 PM,25 February 2021  10:01 PM,20 mins 52 secs,5.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00
Riley,Abdul Maalik,NA,NA,abdul maalik.ril_196@example.com,In progress,25 February 2021  10:32 PM,-,-,-,-,-,-,-,-,-,-,-,-
Schlottman,Ramla,NA,NA,ramla.sch_219@example.com,Finished,26 February 2021  1:07 AM,26 February 2021  1:26 AM,18 mins 20 secs,5.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00
Hall,Julia,NA,NA,julia.hal_261@example.com,Finished,26 February 2021  1:23 AM,26 February 2021  1:33 AM,10 mins 13 secs,8.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
Mckeon,Zubair,NA,NA,zubair.mck_255@example.com,Finished,26 February 2021  6:21 AM,26 February 2021  6:27 AM,6 mins 24 secs,9.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Rietveld,Saqib,NA,NA,saqib.rie_148@example.com,Finished,26 February 2021  9:39 AM,26 February 2021  9:43 AM,3 mins 24 secs,3.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00
Oswalt-Naasz,Shannon,NA,NA,shannon.osw_114@example.com,Finished,26 February 2021  9:42 AM,26 February 2021  9:44 AM,2 mins 53 secs,7.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00
Ellis,Ludonnia,NA,NA,ludonnia.ell_008@example.com,Finished,26 February 2021  10:30 AM,26 February 2021  10:32 AM,1 min 58 secs,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ellis,Ludonnia,NA,NA,ludonnia.ell_008@example.com,Finished,26 February 2021  10:32 AM,26 February 2021  10:32 AM,21 secs,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nez,Gilbert,NA,NA,gilbert.nez_205@example.com,Finished,26 February 2021  10:51 AM,26 February 2021  4:43 PM,5 hours 52 mins,5.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00
al-Badie,Julia,NA,NA,julia.al_281@example.com,Finished,26 February 2021  12:49 PM,26 February 2021  12:58 PM,8 mins 53 secs,4.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00
Witthohn,Richard,NA,NA,richard.wit_236@example.com,Finished,26 February 2021  2:44 PM,1 March 2021  9:42 AM,2 days 18 hours,5.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00
Lovato,Mustaba,NA,NA,mustaba.lov_009@example.com,Finished,26 February 2021  2:59 PM,26 February 2021  3:03 PM,4 mins 23 secs,7.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00
Nez,Gilbert,NA,NA,gilbert.nez_205@example.com,Finished,26 February 2021  4:43 PM,26 February 2021  4:43 PM,10 secs,0.00,0.00,-,-,-,-,-,-,-,-
Nez,Gilbert,NA,NA,gilbert.nez_205@example.com,Finished,26 February 2021  4:43 PM,26 February 2021  4:43 PM,7 secs,0.00,0.00,-,-,-,-,-,-,-,-
Nez,Gilbert,NA,NA,gilbert.nez_205@example.com,Finished,26 February 2021  4:43 PM,26 February 2021  4:44 PM,6 secs,0.00,0.00,-,-,-,-,-,-,-,-
Nez,Gilbert,NA,NA,gilbert.nez_205@example.com,Finished,26 February 2021  4:44 PM,26 February 2021  4:44 PM,4 secs,0.00,0.00,-,-,-,-,-,-,-,-
Nez,Gilbert,NA,NA,gilbert.nez_205@example.com,Finished,26 February 2021  4:44 PM,26 February 2021  4:44 PM,5 secs,1.00,1.00,-,-,-,-,-,-,-,-
Nez,Gilbert,NA,NA,gilbert.nez_205@example.com,Finished,26 February 2021  4:44 PM,26 February 2021  4:45 PM,40 secs,0.00,0.00,-,-,-,-,-,-,-,-
Nez,Gilbert,NA,NA,gilbert.nez_205@example.com,Finished,26 February 2021  4:45 PM,26 February 2021  4:51 PM,6 mins 49 secs,5.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00
Perez,Christine,NA,NA,christine.per_137@example.com,Finished,26 February 2021  5:11 PM,1 March 2021  9:58 AM,2 days 16 hours,2.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00
Caldera,Kimberly,NA,NA,kimberly.cal_111@example.com,Finished,26 February 2021  5:44 PM,26 February 2021  5:56 PM,12 mins 8 secs,7.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00
al-Amini,Calley,NA,NA,calley.al_271@example.com,Finished,26 February 2021  6:24 PM,26 February 2021  6:55 PM,31 mins 10 secs,5.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00
Lovato,Mustaba,NA,NA,mustaba.lov_009@example.com,Finished,26 February 2021  8:24 PM,1 March 2021  9:32 AM,2 days 13 hours,9.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Aguilar,Haaniya,NA,NA,haaniya.agu_206@example.com,Finished,26 February 2021  8:42 PM,26 February 2021  8:49 PM,6 mins 31 secs,3.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
Miller,Luke,NA,NA,luke.mil_119@example.com,In progress,26 February 2021  11:19 PM,-,-,-,-,-,-,-,-,-,-,-,-
Nguyen,Kenneth,NA,NA,kenneth.ngu_121@example.com,Finished,26 February 2021  11:47 PM,1 March 2021  12:33 AM,2 days,8.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00
Ayala,Luke,NA,NA,luke.aya_039@example.com,Finished,27 February 2021  12:11 AM,27 February 2021  12:18 AM,6 mins 52 secs,5.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00
Ayala,Luke,NA,NA,luke.aya_039@example.com,Finished,27 February 2021  12:18 AM,1 March 2021  12:13 PM,2 days 11 hours,6.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00
Andrews,Christopher,NA,NA,christopher.and_046@example.com,Finished,27 February 2021  1:00 AM,27 February 2021  1:16 AM,15 mins 52 secs,3.00,0.00,1.00,-,0.00,0.00,0.00,1.00,-,1.00
Enriquez,Matea,NA,NA,matea.enr_085@example.com,Finished,27 February 2021  2:15 AM,27 February 2021  2:28 AM,12 mins 58 secs,8.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
el-Akbar,Katelyn,NA,NA,katelyn.el_117@example.com,Finished,27 February 2021  1:28 PM,28 February 2021  11:26 PM,1 day 9 hours,3.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00
Montano,Rozell,NA,NA,rozell.mon_145@example.com,Finished,27 February 2021  2:50 PM,27 February 2021  2:58 PM,8 mins 13 secs,8.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00
Montano,Rozell,NA,NA,rozell.mon_145@example.com,Finished,27 February 2021  2:58 PM,1 March 2021  3:33 PM,2 days,8.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00
Stevenson,Sandra,NA,NA,sandra.ste_075@example.com,Finished,27 February 2021  3:25 PM,27 February 2021  3:32 PM,7 mins 14 secs,6.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00
Gutierrez-Lopez,Sara,NA,NA,sara.gut_195@example.com,Finished,27 February 2021  3:35 PM,27 February 2021  3:41 PM,5 mins 24 secs,5.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00
Wong,Jasmine,NA,NA,jasmine.won_207@example.com,Finished,27 February 2021  3:45 PM,1 March 2021  3:40 PM,1 day 23 hours,4.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00
Ku,Amber,NA,NA,amber.ku_172@example.com,Finished,27 February 2021  8:05 PM,27 February 2021  8:14 PM,8 mins 58 secs,7.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00
Ninomiya,Jacob,NA,NA,jacob.nin_251@example.com,Finished,27 February 2021  8:33 PM,27 February 2021  8:39 PM,5 mins 32 secs,2.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
Bonser,Julius,NA,NA,julius.bon_089@example.com,Finished,27 February 2021  8:55 PM,27 February 2021  9:25 PM,30 mins 1 sec,3.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00
Kasper,Madison,NA,NA,madison.kas_034@example.com,Finished,27 February 2021  9:15 PM,27 February 2021  9:18 PM,2 mins 45 secs,1.00,-,-,-,-,-,-,-,-,1.00
Kasper,Madison,NA,NA,madison.kas_034@example.com,Finished,27 February 2021  9:18 PM,27 February 2021  9:18 PM,13 secs,0.00,-,-,-,-,-,-,-,-,0.00
Kasper,Madison,NA,NA,madison.kas_034@example.com,In progress,27 February 2021  9:18 PM,-,-,-,-,-,-,-,-,-,-,-,-
Andrade,Courtney,NA,NA,courtney.and_144@example.com,Finished,27 February 2021  10:18 PM,27 February 2021  10:26 PM,8 mins 39 secs,5.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00
Rodarte,Rosa,NA,NA,rosa.rod_116@example.com,Finished,28 February 2021  12:37 AM,28 February 2021  10:51 PM,22 hours 14 mins,8.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00
Tregay,Jadon,NA,NA,jadon.tre_252@example.com,Finished,28 February 2021  1:19 AM,28 February 2021  1:35 AM,16 mins 11 secs,9.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Pro,Sunsiarae,NA,NA,sunsiarae.pro_216@example.com,Finished,28 February 2021  2:24 AM,28 February 2021  2:25 AM,1 min 31 secs,0.00,0.00,-,-,-,-,-,-,-,-
Pro,Sunsiarae,NA,NA,sunsiarae.pro_216@example.com,Finished,28 February 2021  2:25 AM,28 February 2021  2:29 AM,3 mins 50 secs,1.00,0.00,1.00,0.00,-,-,-,-,-,-
Pro,Sunsiarae,NA,NA,sunsiarae.pro_216@example.com,Finished,28 February 2021  2:30 AM,1 March 2021  6:50 PM,1 day 16 hours,7.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00
el-Mohamad,Sahel,NA,NA,sahel.el_191@example.com,Finished,28 February 2021  2:42 AM,1 March 2021  6:06 PM,1 day 15 hours,8.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00
Lovan,Amairini,NA,NA,amairini.lov_109@example.com,Finished,28 February 2021  8:38 AM,28 February 2021  8:39 AM,1 min 11 secs,0.00,0.00,-,-,-,-,-,-,-,-
Lovan,Amairini,NA,NA,amairini.lov_109@example.com,Finished,28 February 2021  8:39 AM,28 February 2021  8:39 AM,10 secs,0.00,0.00,-,-,-,-,-,-,-,-
Lovan,Amairini,NA,NA,amairini.lov_109@example.com,Finished,28 February 2021  9:04 AM,28 February 2021  9:05 AM,40 secs,0.00,0.00,-,-,-,-,-,-,-,-
Willner,Hakeem,NA,NA,hakeem.wil_070@example.com,Finished,28 February 2021  9:29 AM,28 February 2021  9:43 AM,14 mins 40 secs,6.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00
Garcia,Tina,NA,NA,tina.gar_050@example.com,Finished,28 February 2021  10:48 AM,28 February 2021  10:57 AM,8 mins 44 secs,5.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00
Snow,Leeah,NA,NA,leeah.sno_016@example.com,In progress,28 February 2021  12:01 PM,-,-,-,-,-,-,-,-,-,-,-,-
el-Haq,Jacob,NA,NA,jacob.el_091@example.com,In progress,28 February 2021  12:29 PM,-,-,-,-,-,-,-,-,-,-,-,-
Cook,Tanner,NA,NA,tanner.coo_230@example.com,Finished,28 February 2021  1:49 PM,28 February 2021  1:52 PM,3 mins 15 secs,4.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00
Jordan,Hershel,NA,NA,hershel.jor_246@example.com,Finished,28 February 2021  2:29 PM,28 February 2021  2:38 PM,9 mins 50 secs,5.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00
Mason,"Ma,Roof",NA,NA,"ma,roof.mas_171@example.com",Finished,28 February 2021  3:07 PM,1 March 2021  9:46 AM,18 hours 38 mins,6.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00
Martin,Faatih,NA,NA,faatih.mar_082@example.com,Finished,28 February 2021  5:10 PM,1 March 2021  2:49 AM,9 hours 38 mins,0.00,0.00,-,-,-,-,-,-,-,-
Roche,Faun,NA,NA,faun.roc_059@example.com,Finished,28 February 2021  5:14 PM,28 February 2021  5:19 PM,4 mins 30 secs,4.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00
Hume,Dominique,NA,NA,dominique.hum_002@example.com,Finished,28 February 2021  5:29 PM,28 February 2021  5:38 PM,9 mins 15 secs,7.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00
Calhoun,Anthony,NA,NA,anthony.cal_036@example.com,Finished,28 February 2021  5:37 PM,28 February 2021  5:41 PM,3 mins 49 secs,0.00,0.00,-,-,-,-,-,-,-,-
Calhoun,Anthony,NA,NA,anthony.cal_036@example.com,Finished,28 February 2021  5:41 PM,28 February 2021  5:41 PM,11 secs,0.00,0.00,-,-,-,-,-,-,-,-
Calhoun,Anthony,NA,NA,anthony.cal_036@example.com,Finished,28 February 2021  5:41 PM,28 February 2021  5:41 PM,6 secs,1.00,1.00,-,-,-,-,-,-,-,-
Calhoun,Anthony,NA,NA,anthony.cal_036@example.com,Finished,28 February 2021  5:41 PM,28 February 2021  5:42 PM,36 secs,0.00,0.00,-,-,-,-,-,-,-,-
Calhoun,Anthony,NA,NA,anthony.cal_036@example.com,Finished,28 February 2021  5:42 PM,28 February 2021  5:43 PM,1 min 22 secs,1.00,-,1.00,-,-,-,-,-,-,-
Calhoun,Anthony,NA,NA,anthony.cal_036@example.com,Finished,28 February 2021  5:44 PM,28 February 2021  5:44 PM,8 secs,1.00,-,1.00,-,-,-,-,-,-,-
Calhoun,Anthony,NA,NA,anthony.cal_036@example.com,Finished,28 February 2021  5:44 PM,28 February 2021  5:44 PM,9 secs,1.00,0.00,1.00,-,-,-,-,-,-,-
Kim,Louis,NA,NA,louis.kim_087@example.com,Finished,28 February 2021  6:19 PM,28 February 2021  6:24 PM,4 mins 43 secs,9.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
al-Badie,Julia,NA,NA,julia.al_281@example.com,Finished,28 February 2021  6:32 PM,1 March 2021  9:42 AM,15 hours 9 mins,7.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00
Miera,Anthony,NA,NA,anthony.mie_062@example.com,In progress,28 February 2021  8:01 PM,-,-,-,-,-,-,-,-,-,-,-,-
Huizar-Gutierrez,Derek,NA,NA,derek.hui_188@example.com,Finished,28 February 2021  8:03 PM,28 February 2021  8:58 PM,54 mins 32 secs,8.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00
Forbis,Zackieus,NA,NA,zackieus.for_080@example.com,Finished,28 February 2021  8:07 PM,1 March 2021  1:05 AM,4 hours 58 mins,4.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00
Herndon,Fawwaaz,NA,NA,fawwaaz.her_275@example.com,Finished,28 February 2021  8:44 PM,1 March 2021  8:57 AM,12 hours 12 mins,5.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00
Malin,Savannah,NA,NA,savannah.mal_033@example.com,Finished,28 February 2021  8:55 PM,28 February 2021  9:16 PM,21 mins 7 secs,7.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00
Blackwell,Steven,NA,NA,steven.bla_112@example.com,Finished,28 February 2021  8:57 PM,28 February 2021  9:07 PM,10 mins 20 secs,7.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00
Blackwell,Steven,NA,NA,steven.bla_112@example.com,In progress,28 February 2021  9:07 PM,-,-,-,-,-,-,-,-,-,-,-,-
Umemura,Timothy,NA,NA,timothy.ume_042@example.com,Finished,28 February 2021  9:21 PM,28 February 2021  9:25 PM,3 mins 48 secs,7.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00
Villalobos Nunez,Fue,NA,NA,fue.vil_090@example.com,Finished,28 February 2021  9:26 PM,28 February 2021  9:38 PM,11 mins 56 secs,7.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
West,Sara,NA,NA,sara.wes_158@example.com,Finished,28 February 2021  9:26 PM,28 February 2021  9:38 PM,11 mins 23 secs,7.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
Washington,Jocelyn,NA,NA,jocelyn.was_068@example.com,Finished,28 February 2021  9:30 PM,28 February 2021  9:39 PM,8 mins 46 secs,2.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
el-Husain,Caleb,NA,NA,caleb.el_010@example.com,Finished,28 February 2021  9:31 PM,28 February 2021  9:46 PM,15 mins 4 secs,7.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00
Mckeon,Zubair,NA,NA,zubair.mck_255@example.com,In progress,28 February 2021  9:37 PM,-,-,-,-,-,-,-,-,-,-,-,-
Ornelas,Kirby,NA,NA,kirby.orn_269@example.com,Finished,28 February 2021  9:42 PM,28 February 2021  9:58 PM,15 mins 48 secs,9.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
al-Azzam,Dyllan,NA,NA,dyllan.al_060@example.com,Finished,28 February 2021  9:47 PM,28 February 2021  10:06 PM,19 mins,8.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00
el-Miah,Austin,NA,NA,austin.el_040@example.com,Finished,28 February 2021  9:50 PM,1 March 2021  3:05 AM,5 hours 14 mins,8.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Swimmer,Isaac,NA,NA,isaac.swi_055@example.com,Finished,28 February 2021  9:52 PM,28 February 2021  10:04 PM,12 mins 17 secs,7.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00
Valdez,Scott,NA,NA,scott.val_064@example.com,Finished,28 February 2021  9:53 PM,28 February 2021  10:04 PM,10 mins 38 secs,7.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00
Swimmer,Isaac,NA,NA,isaac.swi_055@example.com,In progress,28 February 2021  10:04 PM,-,-,-,-,-,-,-,-,-,-,-,-
Hall,Qamraaa,NA,NA,qamraaa.hal_155@example.com,Finished,28 February 2021  10:05 PM,28 February 2021  10:25 PM,20 mins 50 secs,3.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
Rodriguez,Damaris,NA,NA,damaris.rod_175@example.com,Finished,28 February 2021  10:08 PM,28 February 2021  10:23 PM,14 mins 33 secs,7.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00
Rodriguez,Damaris,NA,NA,damaris.rod_175@example.com,In progress,28 February 2021  10:23 PM,-,-,-,-,-,-,-,-,-,-,-,-
al-Afzal,Dennis,NA,NA,dennis.al_173@example.com,Finished,28 February 2021  10:27 PM,28 February 2021  10:36 PM,9 mins 4 secs,9.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Middelkamp,Tachayanne,NA,NA,tachayanne.mid_135@example.com,Finished,28 February 2021  10:32 PM,28 February 2021  10:45 PM,12 mins 59 secs,5.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00
al-Azzam,Dyllan,NA,NA,dyllan.al_060@example.com,Finished,28 February 2021  10:36 PM,1 March 2021  12:23 AM,1 hour 47 mins,9.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Bell,Nathan,NA,NA,nathan.bel_241@example.com,Finished,28 February 2021  10:42 PM,28 February 2021  10:58 PM,16 mins 14 secs,4.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00
Middelkamp,Tachayanne,NA,NA,tachayanne.mid_135@example.com,In progress,28 February 2021  10:58 PM,-,-,-,-,-,-,-,-,-,-,-,-
Pierce,Mauriesha,NA,NA,mauriesha.pie_138@example.com,Finished,28 February 2021  10:58 PM,28 February 2021  11:24 PM,25 mins 38 secs,9.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Gallegos,Samantha,NA,NA,samantha.gal_123@example.com,Finished,28 February 2021  10:58 PM,28 February 2021  11:00 PM,2 mins 16 secs,9.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Nicholas,Destinee,NA,NA,destinee.nic_143@example.com,Finished,28 February 2021  10:59 PM,28 February 2021  11:17 PM,17 mins 11 secs,9.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Villalobos Nunez,Fue,NA,NA,fue.vil_090@example.com,In progress,28 February 2021  11:09 PM,-,-,-,-,-,-,-,-,-,-,-,-
Sheafe,Michelle,NA,NA,michelle.she_239@example.com,Finished,28 February 2021  11:13 PM,28 February 2021  11:32 PM,18 mins 27 secs,9.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Roberts,Marilyn,NA,NA,marilyn.rob_229@example.com,Finished,28 February 2021  11:21 PM,28 February 2021  11:30 PM,9 mins 4 secs,6.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00
Barnes,Lourdes,NA,NA,lourdes.bar_167@example.com,Finished,28 February 2021  11:23 PM,28 February 2021  11:29 PM,5 mins 50 secs,4.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00
